TimeStamp,Date,last24h,last7d,last30d,last90d,last180d,last365d,Column1
1572961171499,05-11-2019,0.354,0.3399,0.3255,0.2379,0.1705,0.2512,
1573047579499,06-11-2019,0.327,0.3419,0.3254,0.2419,0.1718,0.2513,
1573133987498,07-11-2019,0.4816,0.3916,0.3267,0.2452,0.1738,0.2517,
1573220395498,08-11-2019,0.4819,0.4008,0.3301,0.2483,0.1764,0.2519,
1573306803497,09-11-2019,0.4109,0.4003,0.332,0.2514,0.1784,0.2525,
1573393213497,10-11-2019,0.2625,0.3704,0.3276,0.2521,0.18,0.2523,
1573479619496,11-11-2019,0.38,0.3632,0.3331,0.2547,0.1812,0.2523,
1573566027496,12-11-2019,0.3826,0.3661,0.338,0.2572,0.1836,0.2523,
1573652435496,13-11-2019,0.427,0.3868,0.3479,0.2598,0.1853,0.2522,
1573738843495,14-11-2019,0.3385,0.3708,0.3486,0.2618,0.1873,0.2527,
1573825251495,15-11-2019,0.4281,0.3641,0.351,0.2639,0.1889,0.2523,
1573911659494,16-11-2019,0.3826,0.3622,0.3541,0.2682,0.1899,0.2529,
1573998065494,17-11-2019,0.4039,0.3881,0.355,0.2716,0.1903,0.2535,
1574084473493,18-11-2019,0.4265,0.3958,0.3552,0.2739,0.1926,0.2543,
1574170879493,19-11-2019,0.4636,0.4055,0.3611,0.2774,0.1951,0.2543,
1574257287493,20-11-2019,0.3718,0.397,0.36,0.282,0.1974,0.2544,
1574343695492,21-11-2019,0.3869,0.403,0.3618,0.2864,0.2006,0.2543,
1574430103492,22-11-2019,0.3756,0.3974,0.3603,0.2904,0.2032,0.2546,
1574516509491,23-11-2019,0.3985,0.3996,0.3639,0.2932,0.2046,0.2549,
1574602917491,24-11-2019,0.3796,0.3959,0.3646,0.2978,0.2062,0.2549,
1574689323491,25-11-2019,0.4389,0.3964,0.3718,0.3026,0.2073,0.255,
1574775731490,26-11-2019,0.4021,0.3884,0.3707,0.3057,0.21,0.255,
1574862139490,27-11-2019,0.4412,0.3992,0.3764,0.3089,0.2118,0.2548,
1574948545490,28-11-2019,0.4344,0.4053,0.3783,0.3122,0.2152,0.2549,
1575034953489,29-11-2019,0.4328,0.4141,0.3827,0.3163,0.218,0.2549,
1575121361489,30-11-2019,0.2973,0.3957,0.3898,0.3181,0.2197,0.2548,
1575207767488,01-12-2019,0.4074,0.3991,0.3894,0.3199,0.2213,0.2545,
1575294175488,02-12-2019,0.3316,0.3819,0.3866,0.3217,0.2233,0.2544,
1575380581488,03-12-2019,0.3276,0.3701,0.3829,0.3231,0.2235,0.2541,
1575466989487,04-12-2019,0.2583,0.3447,0.3771,0.3238,0.2245,0.2538,
1575553397487,05-12-2019,0.2995,0.327,0.3747,0.3242,0.2264,0.2535,
1575639805486,06-12-2019,0.3655,0.3191,0.3773,0.3249,0.227,0.2531,
1575726207486,07-12-2019,0.4666,0.3403,0.3773,0.3262,0.2279,0.2529,
1575812621485,08-12-2019,0.459,0.3463,0.3769,0.3275,0.2297,0.2529,
1575899029485,09-12-2019,0.4451,0.3635,0.3784,0.3305,0.2313,0.2529,
1575985435485,10-12-2019,0.3199,0.3638,0.3814,0.3315,0.2334,0.2529,
1576071843484,11-12-2019,0.409,0.3872,0.3824,0.3341,0.2339,0.2527,
1576158251484,12-12-2019,0.445,0.4097,0.3845,0.337,0.2365,0.2528,
1576244657483,13-12-2019,0.4206,0.4174,0.3845,0.3401,0.239,0.2532,
1576331065483,14-12-2019,0.4286,0.4135,0.3873,0.3437,0.2416,0.2532,
1576417473482,15-12-2019,0.467,0.4143,0.3886,0.3472,0.2436,0.253,
1576503881482,16-12-2019,0.3665,0.4039,0.3882,0.348,0.2456,0.253,
1576590287482,17-12-2019,0.415,0.4188,0.3881,0.3502,0.247,0.2526,
1576676695481,18-12-2019,0.4026,0.4179,0.3871,0.3519,0.2487,0.2529,
1576763103481,19-12-2019,0.361,0.4059,0.3838,0.3539,0.2501,0.2526,
1576849511480,20-12-2019,0.4619,0.4108,0.387,0.3564,0.2521,0.2524,
1576935919480,21-12-2019,0.3252,0.3909,0.3841,0.3572,0.2545,0.2524,
1577022325480,22-12-2019,0.483,0.3915,0.3871,0.3582,0.2566,0.2522,
1577108733479,23-12-2019,0.4502,0.4032,0.3886,0.3609,0.2589,0.2521,
1577195143479,24-12-2019,0.4224,0.4038,0.3902,0.362,0.2612,0.2522,
1577281551478,25-12-2019,0.3999,0.4039,0.3891,0.3619,0.2641,0.2526,
1577367959478,26-12-2019,0.4447,0.4148,0.3903,0.362,0.2669,0.2525,
1577454367477,27-12-2019,0.4729,0.4155,0.3911,0.3639,0.2705,0.2526,
1577540775477,28-12-2019,0.3072,0.4156,0.3868,0.3655,0.2725,0.2526,
1577627183476,29-12-2019,0.2882,0.3867,0.3814,0.3657,0.2736,0.2521,
1577713589476,30-12-2019,0.2681,0.3609,0.3807,0.3648,0.2741,0.2516,
1577799997476,31-12-2019,0.3661,0.3514,0.3788,0.364,0.275,0.251,
1577886405475,01-01-2020,0.2949,0.3352,0.3773,0.3653,0.2767,0.2508,
1577972811475,02-01-2020,0.4176,0.3312,0.3807,0.3654,0.2786,0.2504,
1578059219474,03-01-2020,0.4093,0.3269,0.386,0.3668,0.2805,0.2505,
1578145627474,04-01-2020,0.3609,0.3364,0.3878,0.3661,0.2823,0.2506,
