Implemented,Name,Description,Unit,Resolution,Default,Min,Max,Datatype,Modbus Addr,Type,Length,FCr,FCw,Access
,SettingsParamList,,,,,,,,,,,,,
,ComTimeOutEMS,EMS communication timeout (0 = timeout deaktivate),s,1.0,120,0,3600,UINT16,1016,Register,1,03,06,rw
,SoftwareReset,Setting this flag will restart the CPU (only in idle or error state),-,1.0,0,0,1,UINT16,1017,Register,1,,06,w
,Standby Mode ,Set the inverter to low Power mode (System Offline) SoftwareReset to wakeup,-,1.0,0,0,1,UINT16,1018,Register,1,03,06,rw
,FirmwareHashNumberMaster,Code Version Master,-,,,,,UINT16,2050,Register,2,04,,r
,FirmwareHashNumberModule,Code Version Modules,-,,,,,UINT16,2052,Register,2,04,,r
,SetPointsParamList,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,ActivatePowerStage,"Power stage configuration:
1 = power stage on;
0 = power stage off;",-,1.0,0,0,1,UINT16,4000,Register,1,03,06,rw
,,,,,,,,,,,,,,
,ResetAlarmsFlag,Resets current alarm and warning messages,-,1.0,0,0,1,UINT16,4002,Register,1,03,06,rw
,GridType,"Grid type:
0 = grid-tied, 400V, 50Hz
2 = island mode, 400V, 50Hz
",-,1.0,0,0,4,UINT16,4009,Register,1,03,06,rw
,GridCode,0 = VDE AR 4105 (set by EMS),-,1.0,0,0,0,UINT16,4010,Register,1,03,06,rw
,SystemSignedPowerSetPointAC,Signed power set value AC (sign influences cos phi),kVA,0.1,0,-6750,6750,INT16,4195,Register,1,03,06,rw
,CosPhiSetPointAC,,-,0.001,1000,-1000,1000,INT16,4196,Register,1,03,06,rw
,IslandFrequencyOffset,Frequency offset in island operation,Hz,0.001,0,0,2000,INT16,4222,Register,1,03,06,rw
,STABLExtendedValuesParamList,,,,,,,,,,,,,
,Temperature,"Temperture of System,String and Module in Min,Max and Avg",°C,0.01,0,-10000,20000,INT16,6000,Register,192,03,,r
,TemperatureMinSystem,,°C,0.01,0,-10000,20000,INT16,6000,Register,1,03,,r
,TemperatureMinString1,,°C,0.01,0,-10000,20000,INT16,6001,Register,1,03,,r
,TemperatureMinString1ModuleX,,°C,0.01,0,-10000,20000,INT16,6002,Register,20,03,,r
,TemperatureMinString2,,°C,0.01,0,-10000,20000,INT16,6022,Register,1,03,,r
,TemperatureMinString2ModuleX,,°C,0.01,0,-10000,20000,INT16,6023,Register,20,03,,r
,TemperatureMinString3,,°C,0.01,0,-10000,20000,INT16,6043,Register,1,03,,r
,TemperatureMinString3ModuleX,,°C,0.01,0,-10000,20000,INT16,6044,Register,20,03,,r
,TemperatureMaxSystem,,°C,0.01,0,-10000,20000,INT16,6064,Register,1,03,,r
