ActivePower,ActiveProductionEnergy
25.5,25.5
103,64.25
234.3333,120.9444333
364.6666,181.874975
477.5,240.99998
468.3333,278.8888667
505.3333,311.2380714
522.3333,337.624975
543.3333,360.4814556
548.5,379.28331
548.6666,394.6817909
969.1666,442.555525
598.6666,454.5640692
602.6666,465.1428214
610.1666,474.8110733
623.8333,484.1249625
628.3333,492.6078059
855.8333,512.787
966.1666,536.6490842
819.1666,550.77496
1396.666,591.0554857
1424.5,628.9393273
1467.333,665.3912261
1510.833,700.6179667
1526.833,733.666568
1540,764.6793923
1541.5,793.4505259
1560.833,820.8570429
1563,846.4481793
1516.5,868.78324
1559.333,891.0590387
1622.333,913.91135
1654.166,936.3433091
1560.833,954.7106529
1669.333,975.1284343
1773.833,997.3146722
1718.5,1016.806168
1581.5,1031.666532
972.8333,1030.157987
855.3333,1025.78737
1374,1034.280361
1806.833,1052.674471
1645.5,1066.461112
1781.166,1082.704405
1670.666,1095.770218
1667.333,1108.195496
1395.333,1114.304804
725.5,1106.204704
901.5,1102.027057
1126.166,1102.509836
1541.333,1111.114212
1044.5,1109.833169
815.5,1104.279713
1739,1116.033793
1767.333,1127.875596
1699.333,1138.080193
1718.166,1148.257137
1801.333,1159.517066
1898.5,1172.0422
1841.5,1183.19983
1138.166,1182.46157
793.1666,1176.182619
907.1666,1171.912524
1291.5,1173.781078
841.3333,1168.666497
806.5,1163.179126
851.3333,1158.52471
864,1154.193465
738.1666,1148.16409
726,1142.133174
683.6666,1135.675899
655.1666,1129.002158
644.6666,1122.367425
647,1115.943541
656.5,1109.817627
650.5,1103.773974
654,1097.932753
668.5,1092.427205
765.1666,1088.284666
798.6666,1084.66444
745.3333,1080.475167
752.3333,1076.473437
1124.166,1077.048046
1012.833,1076.283581
845.1666,1073.564558
1253.166,1075.652947
2188.166,1088.440453
2269.666,1101.86347
2307.333,1115.408072
2328.5,1128.886871
1256.833,1130.292873
974.8333,1128.603095
949.8333,1126.680839
1022.666,1125.574298
1031.833,1124.587547
1031,1123.612677
952,1121.843474
848.1666,1119.050853
796.8333,1115.79613
793,1112.568169
808.3333,1109.555943
819,1106.707355
837.6666,1104.095309
871.8333,1101.86202
919.6666,1100.126826
887.5,1098.120912
892,1096.194549
949.8333,1094.839352
876,1092.831651
845.5,1090.583182
849.5,1088.411261
912.3333,1086.839137
1372.833,1089.370056
1757.666,1095.232301
1978.666,1102.914333
1267,1104.328865
1283,1105.855968
1405.5,1108.395325
1070.5,1108.076876
1077.833,1107.824844
958.3333,1106.589377
892.5,1104.834546
876,1102.974102
881.5,1101.188021
877.8333,1099.401183
876.6666,1097.633448
871.6666,1095.854182
915,1094.441259
945.1666,1093.284091
961.5,1092.270367
987.8333,1091.473137
1044.833,1091.119803
1123,1091.359504
1249.833,1092.542142
1384,1094.701089
1238,1095.754757
1156.666,1096.199365
1121.833,1096.385116
1182.333,1097.003446
1314.833,1098.559371
1553,1101.782355
1984.5,1107.998676
1874.333,1113.357657
1590.5,1116.671146
1581.5,1119.876862
1746.833,1124.171082
2360,1132.578082
2156.666,1139.497595
2237.5,1146.866738
1933.666,1152.112067
1759.5,1156.134503
1729.5,1159.906645
1659.5,1163.171961
1871,1167.768247
1672.833,1171.026729
2268.333,1178.060744
1745.833,1181.677127
1777,1185.444994
1892.5,1189.891881
1660.166,1192.831094
1713.666,1196.066093
1725.5,1199.334204
2322.333,1206.223767
2050.833,1211.373823
1926.833,1215.709939
2860.333,1225.617307
1700.666,1228.46191
1565.333,1230.467095
1540.833,1232.30358
1812,1235.713559
1849.666,1239.303924
2045,1243.988203
1688,1246.554746
2170.833,1251.86669
3587.5,1265.213166
3343,1277.018773
2426,1283.510192
4227,1300.046652
3670.833,1313.291268
3062.666,1323.010017
2663.333,1330.415116
3383.833,1341.697632
2251.666,1346.670137
1884,1349.590408
3628.666,1361.909735
3627.5,1374.090328
2863.333,1382.054193
3205.5,1391.753372
3338,1402.050974
2822.166,1409.525263
2650.666,1416.023382
2682.166,1422.617875
1922.333,1425.207073
1841.166,1427.351191
1873.5,1429.639133
2446.833,1434.828898
3786.833,1446.768005
2690.166,1453.047793
2700.666,1459.317231
4191.166,1472.976475
3187.833,1481.5081
4536.333,1496.630995
2950.166,1503.791266
4030.333,1516.176275
3881.833,1527.716063
2734.166,1533.572617
2556.666,1538.515097
3491.5,1547.904447
4616.666,1562.587517
3776.333,1573.129162
3030.166,1580.03455
2340.833,1583.623222
4452.833,1597.09369
4118,1608.873626
4610,1622.832353
4022.5,1633.941926
4918.666,1649.078903
3007.166,1655.308661
4956.166,1670.381068
4343.5,1682.531609
4849.666,1696.862534
4518.833,1709.574113
4573.333,1722.416081
3251.5,1729.242348
3717,1738.076827
4137.166,1748.692265
3415.333,1756.034295
4685,1768.880636
3930.833,1778.321476
3264.833,1784.78457
3057,1790.291996
4033.666,1799.961711
4216,1810.330974
4798.833,1823.10235
3796,1831.49766
3434.166,1838.288627
3122.666,1843.707941
3453.833,1850.473172
2833.333,1854.585556
2542.833,1857.453254
3182.666,1862.952062
4918.333,1875.577603
4336,1885.702798
3710,1893.179426
3882.5,1901.299102
4281,1910.972683
4176.666,1920.14553
3803.666,1927.740371
4789.833,1939.234719
4229,1948.39378
4009.166,1956.604028
4729.5,1967.607583
3907.5,1975.275142
5015.833,1987.245843
3624.833,1993.667753
4834.5,2004.764754
2879.5,2008.168393
2509.833,2010.112829
2813.333,2013.214066
5115.833,2025.147215
4770.333,2035.665169
5194,2047.719882
4845.666,2058.35846
4594.666,2067.965686
4443.5,2076.929966
4898,2087.535492
4487.333,2096.523498
4209.5,2104.407739
4645.333,2113.853558
4924.166,2124.262122
5166.5,2135.488092
5134.833,2146.515096
5013.666,2157.01748
4973.5,2167.296613
4918.5,2177.300989
4887.833,2187.121757
4890.333,2196.880643
4862.833,2206.470399
4823.333,2215.849835
4876,2225.350371
4718.333,2234.222196
4643.666,2242.766323
4782.666,2251.741233
4761.5,2260.578412
4812.666,2269.533105
4820,2278.450822
4844.666,2287.392338
4603.5,2295.434378
3581.166,2299.883277
4852.666,2308.685976
4837.166,2317.374911
4675,2325.448969
4810.166,2333.929232
4833,2342.429473
4879.833,2351.030841
4855,2359.490196
4889.666,2368.009306
4937,2376.630081
4964.333,2385.284605
4990.833,2393.969767
5022.833,2402.703532
5133.5,2411.745904
5089.666,2420.583924
5226.166,2429.812813
5252.333,2439.066977
5212.166,2448.129392
5139,2456.894443
5082.166,2465.418052
5062.166,2473.821767
5040.333,2482.100835
5037.166,2490.316479
5122.166,2498.751894
5199,2507.378885
5253.666,2516.125022
5312.166,2525.001343
5343.5,2533.920642
5320.5,2542.711114
5218.5,2551.125544
5417.166,2560.109997
5407.333,2569.007569
5468,2578.038698
5471.5,2587.024602
5580.666,2596.292842
5576.833,2605.49204
4797.5,2612.23668
1584.333,2609.083601
2267.5,2608.039003
3279,2610.084616
5490.833,2618.84069
5574.833,2627.798242
5649.666,2636.927752
5679.833,2646.09313
5735,2655.369126
5684.666,2664.438877
5758.333,2673.674382
5845.5,2683.114339
5821.833,2692.428045
5842.5,2701.747784
5825.666,2710.962882
5852.5,2720.202697
5316.5,2727.816472
4797.166,2733.867202
4148.333,2737.991009
5699.166,2746.599076
5616,2754.91618
5930.333,2764.093685
5821.666,2772.905133
5819.333,2781.659236
5729.833,2790.106725
5814.5,2798.747849
5914.333,2807.62416
4389.333,2812.117651
2316,2810.712218
3320.666,2812.152766
5862.166,2820.744352
5238.833,2827.536736
3246.666,2828.710768
3488,2830.552358
3521.666,2832.477465
5607.833,2840.186786
6039.166,2849.048224
5986.333,2857.714757
1695.333,2854.512603
1608,2851.088118
1633.666,2847.752715
3925.833,2850.69829
2698,2850.282218
2044.5,2848.092592
2135.5,2846.161447
1940,2843.712362
3488,2845.448987
5388.166,2852.284247
2376.333,2851.008239
2606.166,2850.35358
1596.166,2847.00908
1431.166,2843.24354
1343.666,2839.265881
1312.333,2835.226376
1325.166,2831.242047
1395.833,2827.464655
1434.333,2823.808142
1470.5,2820.26545
1667.666,2817.256052
5950.5,2825.415542
6048,2833.785891
5925.5,2841.795513
5898.166,2849.693111
5592.666,2856.762629
4556,2861.130848
5560,2868.051026
1304.666,2864.052598
1294.666,2860.049061
1386.166,2856.298723
1573.833,2853.043734
1671.333,2850.052061
1767.666,2847.318763
1858.666,2844.828453
2629.833,2844.288264
4687,2848.906589
3121.333,2849.587655
1549.166,2846.344708
1562.333,2843.150649
1830.833,2840.638695
2893.666,2840.76995
5701.333,2847.833069
6130.166,2855.917633
5292.166,2861.903501
3464.5,2863.380453
5191,2869.071455
5693.166,2875.95949
5622.833,2882.642881
5538.166,2889.088325
5524,2895.468257
5545.333,2901.868896
5538,2908.221019
5488.666,2914.424012
5445.5,2920.493739
3827.166,2922.662811
2744.833,2922.238396
968.8333,2917.587432
1345.666,2913.853652
4820.666,2918.372164
5569.333,2924.639211
3030,2924.887704
1951.333,2922.596987
4348.833,2925.944958
2777.166,2925.59653
3871,2927.805417
5326.833,2933.397555
4931.666,2938.044691
5449.833,2943.872506
3015.833,2944.039082
1437.666,2940.56016
1369.166,2936.939436
3557.333,2938.365628
5577.166,2944.417923
5230.333,2949.64885
5290.833,2954.994019
5399,2960.561231
3891.166,2962.676242
1685.5,2959.78015
1102.666,2955.578535
2319,2954.141563
1614.833,2951.125102
5575.333,2957.022198
5601,2962.9504
5647,2968.954985
5593.5,2974.813344
5609,2980.68013
1481.5,2977.348618
1469.166,2974.004533
1505,2970.754523
1560,2967.640274
1614,2964.658688
1675.666,2961.825737
1740.833,2959.148121
1797,2956.605128
3374.333,2957.517197
3947.833,2959.674748
1735.833,2957.014222
1691.5,2954.269072
1837,2951.850741
2041.833,2949.88526
5850.833,2956.137302
4910.166,2960.339515
5715.5,2966.251876
5669,2972.039345
5706.333,2977.881853
5710,2983.707265
5018.833,2988.03732
2779.666,2987.594918
2644.833,2986.868727
3472,2987.894375
2771.666,2987.438197
2652,2986.732011
4140.166,2989.155192
5468.833,2994.353678
5639.166,2999.886758
5526.5,3005.161525
5349.333,3010.045215
5391.166,3014.99557
5325.666,3019.789492
5263.833,3024.435545
5211.166,3028.953583
5133,3033.291823
5041.5,3037.423939
1681.333,3034.639358
921.6666,3030.309496
951.3333,3026.058011
1016.833,3021.957551
1173.833,3018.19355
4241.5,3020.679946
5387.666,3025.481134
5374,3030.235221
5405.833,3035.034408
5219.666,3039.438908
5283.166,3043.953449
5240.166,3048.363514
5094,3052.462986
4623.5,3055.60506
1817.833,3053.134457
5191.5,3057.39415
5086.333,3061.427825
4912,3065.099596
4982.833,3068.897088
4998.666,3072.71086
2522.166,3071.624973
3506.333,3072.480697
3021.166,3072.379883
1000.166,3068.316718
908.1666,3064.089418
1685.166,3061.396209
1813.666,3058.963986
3191.5,3059.221838
1128.166,3055.472215
1175.833,3051.829503
1943.666,3049.686054
5322.166,3054.073081
5371.166,3058.537614
5311.5,3062.870234
5054.833,3066.693579
5027.5,3070.449913
4953.666,3074.050709
4908.833,3077.552202
4865,3080.956864
4914.166,3084.442053
4797.833,3087.693269
4778,3090.894608
2344.833,3089.484283
1190.333,3085.900979
3923.5,3087.478378
3751.166,3088.725911
4189.333,3090.79084
3361,3091.29685
1519,3088.357977
1757.666,3085.875343
1123.333,3082.220702
1779.666,3079.799596
1016,3075.970655
1184.5,3072.467931
1100.833,3068.823504
1255,3065.476966
2967.5,3065.29653
4591.666,3068.102356
3387,3068.68749
4196.666,3070.753384
2138,3069.048168
2507,3068.022532
2525.5,3067.034331
3995.5,3068.722451
2345.5,3067.409887
4725.166,3070.413068
4599.333,3073.177842
4498.166,3075.750023
4359,3078.062185
4292.166,3080.245825
4145.333,3082.15801
4141.666,3084.05677
4144,3085.952912
